#  Contiguous U.S. Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199101,39.24
199102,51.6
199103,54.72
199104,64.38
199105,73.53
199106,81.27
199107,86.59
199108,85.68
199109,77.54
199110,68.07
199111,49.46
199112,45.36
199201,43.52
199202,50.05
199203,56.34
199204,64.94
199205,74.26
199206,79.75
199207,82.99
199208,82.31
199209,77.5
199210,67.59
199211,49.19
199212,40.87
199301,39.61
199302,41.31
199303,52.56
199304,61.83
199305,73.36
199306,79.23
199307,83.98
199308,84.2
199309,76.3
199310,65.32
199311,50.29
199312,44.01
199401,39.78
199402,43.05
199403,56.8
199404,65.59
199405,73.47
199406,83.89
199407,86.43
199408,85.19
199409,78.66
199410,65.88
199411,52.84
199412,45.7
199501,42.15
199502,48.78
199503,54.41
199504,61.48
199505,70.05
199506,79.83
199507,86.41
199508,87.1
199509,77.52
199510,67.46
199511,53.44
199512,43.27
199601,40.78
199602,47.16
199603,51.1
199604,63.7
199605,72.93
199606,82.62
199607,86.25
199608,85.19
199609,75.4
199610,66.06
199611,49.51
199612,43.68
199701,39.81
199702,46.06
199703,57.07
199704,59.85
199705,72.27
199706,80.4
199707,85.8
199708,84.11
199709,78.91
199710,66.22
199711,50.83
199712,43.03
199801,44.31
199802,47.82
199803,51.82
199804,63.45
199805,75.11
199806,80.31
199807,88.03
199808,86.94
199809,81.91
199810,66.9
199811,54.73
199812,45.99
199901,44.44
199902,50.76
199903,54.73
199904,63.41
199905,72.7
199906,80.35
199907,86.83
199908,85.89
199909,77.92
199910,68.86
199911,61.16
199912,47.1
200001,44.2
200002,51.19
200003,58.08
200004,65.75
200005,75.97
200006,81.55
200007,86.88
200008,87.3
200009,79.05
200010,67.14
200011,47.88
200012,38.52
200101,41.41
200102,44.46
200103,52.23
200104,65.41
200105,76.1
200106,81.99
200107,87.06
200108,87.4
200109,78.82
200110,67.5
200111,59
200112,46.15
200201,45.07
200202,48.54
200203,51.71
200204,65.93
200205,72.45
200206,83.95
200207,88.75
200208,85.91
200209,79.59
200210,62.56
200211,52.72
200212,44.87
200301,43.38
200302,43.12
200303,54.97
200304,64.26
200305,73.18
200306,80.49
200307,88.66
200308,87.39
200309,77.85
200310,69.69
200311,52.7
200312,45.45
200401,40.44
200402,43.75
200403,59.25
200404,65.35
200405,74.35
200406,80.37
200407,85.23
200408,82.49
200409,78.24
200410,66.34
200411,53.82
200412,45.5
200501,42.87
200502,48.15
200503,53.89
200504,65.14
200505,71.98
200506,81.45
200507,88.47
200508,85.93
200509,80.8
200510,67.42
200511,56.82
200512,42.76
200601,49.62
200602,46.69
200603,53.71
200604,68.43
200605,75.45
200606,84.07
200607,89.55
200608,86.09
200609,75.83
200610,64.65
200611,55.51
200612,47.1
200701,41.38
200702,42.89
200703,60.01
200704,62.82
200705,75.33
200706,82.9
200707,87.4
200708,87.44
200709,79.38
200710,68.97
200711,55.9
200712,42.98
200801,40.77
200802,46.02
200803,54.07
200804,63.45
200805,72.1
200806,82.6
200807,87.03
200808,84.9
200809,77.95
200810,66.79
200811,54.91
200812,42.58
200901,42.31
200902,48.49
200903,54.84
200904,63.39
200905,74.14
200906,80.55
200907,85.3
200908,84.56
200909,78.89
200910,60.87
200911,57.52
200912,38.98
201001,40.03
201002,41.16
201003,55.09
201004,66.13
201005,72
201006,82.54
201007,86.97
201008,86.79
201009,79.75
201010,69.42
201011,53.8
201012,42.03
201101,40.05
201102,44.4
201103,54.3
201104,64.18
201105,71.17
201106,82.67
201107,88.86
201108,88.32
201109,79.39
201110,67.78
201111,55.09
201112,45.52
201201,47.57
201202,48.06
201203,62.83
201204,67.62
201205,76.62
201206,84.16
201207,89.92
201208,87.35
201209,80.06
201210,66.06
201211,55.92
201212,45.81
201301,42.71
201302,45.46
201303,52.68
201304,62.04
201305,73.51
201306,82.96
201307,86.4
201308,85.35
201309,79.16
201310,65.3
201311,52.47
201312,41.52
201401,42.44
201402,43.02
201403,52.83
201404,64.54
201405,74.07
201406,81.77
201407,85.77
201408,84.18
201409,78.22
201410,69.37
201411,50.29
201412,45.32
201501,43.27
201502,44.38
201503,57.74
201504,65.82
201505,72.52
201506,83.61
201507,85.93
201508,85.75
201509,81.28
201510,69.08
201511,55.2
201512,48.04
201601,41.85
201602,50.81
201603,59.45
201604,65.55
201605,72.48
201606,84.88
201607,87.87
201608,85.78
201609,79.38
201610,69.87
201611,59.54
201612,42.62
201701,42.78
201702,52.12
201703,57.79
201704,65.86
201705,73.24
201706,83.21
201707,88.52
201708,84.25
201709,78.73
201710,68.43
201711,56.17
201712,44.83
201801,43.16
201802,46.65
201803,54
201804,61.83
201805,78.37
201806,84.13
201807,88.2
201808,85.93
201809,79.34
201810,64.36
201811,50.14
201812,44.78
201901,42.3
201902,41.7
201903,51.37
201904,64.85
201905,70.84
201906,81.18
201907,87.08
201908,86.32
201909,80.58
201910,64.18
201911,52.3
201912,46.06
202001,45.03
202002,47.12
202003,56.71
202004,63.61
202005,73.38
202006,83.03
202007,88.38
202008,87.82
202009,78.8
202010,66.96
202011,58.3
202012,46.58
202101,43.97
202102,40.82
202103,57.87
202104,64.87
202105,72.84
202106,85.59
202107,87.6
202108,86.27
202109,81.09
202110,68.52
202111,56.84
202112,49.95
202201,42.91
202202,46.26
202203,56.75
202204,63.25
202205,74.46
202206,83.71
202207,89.22
202208,86.92
